
                    LISTA DE CLIENTES                       PAG: 001
002 RAFAL                RAFAEL@OUTLOOK.COM   PRIME         19,90   
006 DENISE               DENISEGMAIL.COM      PRIME         19,90   
009 JOSE CARLOS          ZECA@UOL.COM.BR      PRIME         19,90   
012 TALES SILVA          TALESGMAIL.COM       PRIME         19,90   
002 RAFAL                RAFAEL@OUTLOOK.COM   PRIME         19,90   
006 DENISE               DENISEGMAIL.COM      PRIME         19,90   
009 JOSE CARLOS          ZECA@UOL.COM.BR      PRIME         19,90   
012 TALES SILVA          TALESGMAIL.COM       PRIME         19,90   
002 RAFAL                RAFAEL@OUTLOOK.COM   PRIME         19,90                                                                       
                    LISTA DE CLIENTES                       PAG: 008
COD NOME                 EMAIL                STREAMING  VALOR      
006 DENISE               DENISEGMAIL.COM      PRIME         19,90   
009 JOSE CARLOS          ZECA@UOL.COM.BR      PRIME         19,90   
012 TALES SILVA          TALESGMAIL.COM       PRIME         19,90   
002 RAFAL                RAFAEL@OUTLOOK.COM   PRIME         19,90   
006 DENISE               DENISEGMAIL.COM      PRIME         19,90   
009 JOSE CARLOS          ZECA@UOL.COM.BR      PRIME         19,90   
012 TALES SILVA          TALESGMAIL.COM       PRIME         19,90   
002 RAFAL                RAFAEL@OUTLOOK.COM   PRIME         19,90   
006 DENISE               DENISEGMAIL.COM      PRIME         19,90   
009 JOSE CARLOS          ZECA@UOL.COM.BR      PRIME         19,90   
012 TALES SILVA          TALESGMAIL.COM       PRIME         19,90   
VALOR TOTAL DO STREAMING: PRIME                         477,60      
--------------------------------------------------------------------
VALOR TOTAL DO RELATORIO:                             3.141,00      
